Client_no,Days_from_purchase,Brand,Buyer_age,Gender,Rating
418,0,Dyson,45.0,M,3.5
239,1,Dyson,43.0,M,1.0
528,2,Dyson,39.0,M,3.0
270,2,Dyson,24.0,M,2.0
18,2,Beko,52.0,M,4.0
499,2,Electrolux,38.0,M,2.5
72,2,Tefal,44.0,M,3.5
116,2,Dyson,53.0,M,2.0
119,2,Beko,29.0,M,3.0
88,2,Beko,47.0,M,2.0
152,2,Electrolux,41.0,M,5.0
195,2,Beko,,M,2.5
59,2,Samsung,33.0,M,1.5
138,3,Electrolux,48.0,M,2.0
0,3,Electrolux,41.0,M,3.0
137,3,Beko,,K,1.5
339,3,Dyson,30.0,M,3.5
150,3,Dyson,44.0,bd.,3.0
342,3,Dyson,48.0,M,1.0
106,3,Beko,42.0,M,2.0
320,3,Beko,48.0,M,2.5
73,3,Dyson,,M,3.0
66,3,Tefal,27.0,M,4.0
70,3,Dyson,43.0,M,1.0
132,3,Dyson,46.0,M,1.0
76,3,Dyson,49.0,M,4.0
507,3,Tefal,41.0,M,3.0
249,3,Beko,54.0,M,1.0
302,3,Electrolux,31.0,M,2.0
115,3,Electrolux,21.0,M,4.0
290,3,Beko,47.0,M,2.0
416,3,Electrolux,42.0,M,1.5
42,3,Beko,25.0,M,2.0
333,3,Beko,53.0,M,3.0
495,3,Dyson,,M,2.0
366,3,Electrolux,44.0,M,4.0
24,3,Electrolux,41.0,M,1.5
203,3,Tefal,35.0,M,1.0
370,3,Dyson,,M,3.0
20,3,Beko,31.0,M,4.5
192,3,Tefal,30.0,M,3.5
30,3,Electrolux,52.0,M,3.5
359,3,Beko,49.0,bd.,2.5
164,3,Tefal,51.0,M,2.5
358,3,Electrolux,49.0,K,3.5
381,3,Electrolux,19.0,K,3.0
383,3,Electrolux,35.0,M,2.5
386,3,Samsung,44.0,M,2.0
93,4,Electrolux,18.0,M,1.0
161,4,Electrolux,35.0,M,3.5
508,4,Electrolux,50.0,M,2.5
277,4,Electrolux,33.0,M,2.0
367,4,Electrolux,44.0,M,3.0
103,4,Electrolux,34.0,K,4.0
16,4,Electrolux,29.0,M,3.5
286,4,Electrolux,28.0,M,4.0
310,4,Dyson,,M,1.5
11,4,Electrolux,27.0,M,5.0
95,4,Tefal,46.0,M,2.0
490,4,Dyson,48.0,M,1.0
439,4,Electrolux,29.0,M,1.0
84,4,Electrolux,35.0,bd.,1.5
437,4,Tefal,25.0,M,1.5
502,4,Beko,46.0,M,2.5
181,4,Electrolux,45.0,M,4.0
464,4,Electrolux,44.0,M,2.0
201,4,Beko,,M,2.5
486,4,Dyson,,M,3.5
205,4,Tefal,,M,1.5
37,4,Beko,31.0,M,4.0
21,4,Electrolux,25.0,M,1.5
341,4,Electrolux,50.0,K,1.0
365,4,Beko,24.0,M,4.0
68,4,Electrolux,37.0,M,1.0
338,4,Electrolux,40.0,M,2.5
526,4,Samsung,51.0,M,1.5
328,4,Electrolux,42.0,M,1.5
518,4,Electrolux,30.0,bd.,2.0
329,4,Electrolux,44.0,M,2.5
232,4,Electrolux,36.0,M,4.0
155,4,Electrolux,48.0,M,2.0
219,4,Dyson,34.0,M,3.0
399,4,Tefal,39.0,M,3.5
246,5,Beko,35.0,bd.,3.5
272,5,Electrolux,49.0,M,2.0
190,5,Electrolux,62.0,M,1.5
275,5,Beko,33.0,M,2.5
158,5,Electrolux,54.0,M,1.5
276,5,Tefal,20.0,M,4.5
159,5,Electrolux,41.0,M,3.5
472,5,Tefal,38.0,M,2.0
223,5,Electrolux,38.0,M,1.5
452,5,Tefal,,M,4.0
216,5,Beko,41.0,M,1.0
191,5,Beko,32.0,M,2.5
389,5,Samsung,,M,4.0
258,5,Electrolux,47.0,K,2.0
228,5,Electrolux,50.0,M,2.5
208,5,Beko,43.0,M,2.0
479,5,Beko,38.0,M,1.0
254,5,Dyson,,M,2.5
128,5,Dyson,,M,2.5
197,5,Electrolux,61.0,M,1.0
168,5,Beko,36.0,M,3.0
446,5,Electrolux,20.0,M,2.0
245,5,Electrolux,42.0,M,4.0
532,5,Beko,,M,2.5
218,5,Electrolux,44.0,M,3.5
428,5,Dyson,38.0,K,3.5
19,5,Beko,56.0,M,2.0
15,5,Samsung,47.0,M,1.5
45,5,Electrolux,34.0,K,5.0
312,5,Electrolux,26.0,M,1.5
25,5,Tefal,22.0,M,3.0
28,5,Dyson,38.0,M,2.5
326,5,Electrolux,48.0,M,2.5
527,5,Electrolux,31.0,M,3.5
357,5,Electrolux,27.0,M,1.0
55,5,Electrolux,34.0,K,5.0
36,5,Electrolux,44.0,K,3.5
330,5,Beko,36.0,M,2.0
402,5,Electrolux,49.0,M,2.5
345,5,Electrolux,32.0,M,1.5
47,5,Electrolux,,M,4.0
34,5,Tefal,39.0,M,2.0
504,5,Beko,32.0,M,4.0
343,5,Electrolux,37.0,M,4.0
6,5,Electrolux,27.0,K,4.5
422,5,Electrolux,51.0,bd.,3.5
424,5,Dyson,28.0,M,1.5
503,5,Electrolux,30.0,M,1.0
104,5,Tefal,,M,3.0
5,5,Beko,53.0,M,2.0
100,5,Electrolux,45.0,M,3.0
289,5,Dyson,,M,3.5
500,5,Electrolux,30.0,K,1.5
94,5,Beko,29.0,M,1.5
430,5,Tefal,32.0,M,3.0
220,6,Dyson,56.0,M,4.0
390,6,Tefal,51.0,M,1.0
353,6,Beko,38.0,M,3.5
397,6,Electrolux,38.0,M,3.5
368,6,Samsung,43.0,M,2.5
396,6,Dyson,38.0,M,1.5
215,6,Beko,36.0,M,4.0
378,6,Tefal,34.0,M,4.0
209,6,Electrolux,46.0,M,2.5
362,6,Dyson,42.0,M,2.5
207,6,Dyson,22.0,M,1.5
394,6,Electrolux,29.0,M,1.5
371,6,Beko,47.0,K,2.5
200,6,Electrolux,36.0,M,4.0
198,6,Electrolux,48.0,M,2.5
281,6,Tefal,,M,1.5
449,6,Electrolux,39.0,M,1.0
404,6,Samsung,40.0,M,1.5
431,6,Beko,53.0,M,2.5
432,6,Dyson,26.0,K,3.0
265,6,Tefal,57.0,M,3.5
427,6,Electrolux,20.0,M,2.5
295,6,Beko,,M,1.5
259,6,Electrolux,53.0,M,2.5
256,6,Electrolux,,M,2.5
441,6,Electrolux,25.0,M,2.5
307,6,Electrolux,49.0,M,2.5
250,6,Electrolux,,M,2.0
420,6,Tefal,26.0,M,1.5
444,6,Dyson,37.0,M,2.0
314,6,Electrolux,34.0,M,2.0
315,6,Dyson,49.0,M,2.0
414,6,Electrolux,49.0,M,2.5
244,6,Tefal,42.0,M,0.5
