Client_no,Days_from_purchase,Brand,Buyer_age,Gender,Rating
243,10,Beko,49.0,M,0.0
497,14,Dyson,45.0,M,0.0
92,9,Tefal,58.0,M,0.0
43,10,Dyson,38.0,M,0.0
244,6,Tefal,42.0,M,0.5
488,6,Dyson,42.0,M,0.5
177,7,Electrolux,52.0,M,0.5
44,6,Electrolux,43.0,M,0.5
48,7,Beko,38.0,M,0.5
456,9,Electrolux,29.0,M,0.5
279,6,Electrolux,51.0,K,0.5
127,6,Electrolux,39.0,M,0.5
300,8,Tefal,29.0,M,1.0
429,8,Beko,26.0,M,1.0
503,5,Electrolux,30.0,M,1.0
255,10,Beko,39.0,M,1.0
299,7,Electrolux,37.0,M,1.0
298,9,Samsung,,M,1.0
264,11,Dyson,60.0,M,1.0
390,6,Tefal,51.0,M,1.0
261,8,Electrolux,27.0,M,1.0
216,5,Beko,41.0,M,1.0
476,7,Electrolux,31.0,M,1.0
87,6,Tefal,45.0,M,1.0
93,4,Electrolux,18.0,M,1.0
81,9,Beko,52.0,M,1.0
400,13,Tefal,34.0,K,1.0
480,13,Beko,32.0,M,1.0
479,5,Beko,38.0,M,1.0
160,9,Samsung,45.0,M,1.0
450,13,Electrolux,49.0,M,1.0
449,6,Electrolux,39.0,M,1.0
490,4,Dyson,48.0,M,1.0
70,3,Dyson,43.0,M,1.0
69,10,Tefal,53.0,M,1.0
68,4,Electrolux,37.0,M,1.0
214,7,Tefal,,M,1.0
433,8,Dyson,25.0,M,1.0
408,7,Electrolux,,M,1.0
457,7,Dyson,48.0,K,1.0
278,8,Beko,29.0,M,1.0
239,1,Dyson,43.0,M,1.0
197,5,Electrolux,61.0,M,1.0
342,3,Dyson,48.0,M,1.0
524,7,Samsung,27.0,K,1.0
122,8,Samsung,44.0,M,1.0
242,7,Beko,37.0,M,1.0
132,3,Dyson,46.0,M,1.0
419,11,Electrolux,39.0,M,1.0
327,6,Dyson,,M,1.0
154,8,Dyson,,M,1.0
144,9,Electrolux,,M,1.0
341,4,Electrolux,50.0,K,1.0
249,3,Beko,54.0,M,1.0
521,11,Samsung,48.0,M,1.0
317,9,Electrolux,53.0,M,1.0
439,4,Electrolux,29.0,M,1.0
38,13,Electrolux,40.0,M,1.0
357,5,Electrolux,27.0,M,1.0
382,7,Samsung,58.0,M,1.0
203,3,Tefal,35.0,M,1.0
318,10,Beko,38.0,M,1.0
274,11,Electrolux,36.0,M,1.5
238,7,Electrolux,39.0,M,1.5
190,5,Electrolux,62.0,M,1.5
235,6,Tefal,46.0,M,1.5
94,5,Beko,29.0,M,1.5
101,6,Electrolux,39.0,M,1.5
420,6,Tefal,26.0,M,1.5
396,6,Dyson,38.0,M,1.5
234,7,Tefal,43.0,M,1.5
145,7,Electrolux,36.0,M,1.5
121,9,Dyson,38.0,M,1.5
137,3,Beko,,K,1.5
406,14,Dyson,46.0,M,1.5
123,7,Tefal,41.0,M,1.5
223,5,Electrolux,38.0,M,1.5
454,8,Beko,63.0,M,1.5
125,8,Electrolux,53.0,M,1.5
426,12,Beko,44.0,M,1.5
463,8,Tefal,44.0,M,1.5
260,9,Electrolux,,M,1.5
111,10,Dyson,55.0,M,1.5
110,8,Tefal,39.0,M,1.5
416,3,Electrolux,42.0,M,1.5
131,9,Tefal,33.0,M,1.5
473,6,Tefal,39.0,K,1.5
136,8,Electrolux,41.0,K,1.5
158,5,Electrolux,54.0,M,1.5
404,6,Samsung,40.0,M,1.5
533,9,Electrolux,57.0,K,1.5
395,9,Beko,42.0,K,1.5
39,7,Beko,34.0,M,1.5
312,5,Electrolux,26.0,M,1.5
173,9,Electrolux,41.0,K,1.5
174,7,Samsung,50.0,bd.,1.5
437,4,Tefal,25.0,M,1.5
29,7,Electrolux,22.0,K,1.5
324,7,Electrolux,,M,1.5
328,4,Electrolux,42.0,M,1.5
24,3,Electrolux,41.0,M,1.5
199,15,Electrolux,44.0,K,1.5
22,7,Electrolux,38.0,M,1.5
21,4,Electrolux,25.0,M,1.5
514,6,Electrolux,20.0,M,1.5
331,8,Beko,22.0,M,1.5
179,8,Tefal,,M,1.5
335,9,Dyson,49.0,M,1.5
15,5,Samsung,47.0,M,1.5
345,5,Electrolux,32.0,M,1.5
346,7,Beko,36.0,M,1.5
526,4,Samsung,51.0,M,1.5
347,7,Beko,,K,1.5
529,8,Samsung,39.0,M,1.5
350,7,Electrolux,49.0,M,1.5
3,8,Beko,,M,1.5
530,9,Electrolux,26.0,K,1.5
310,4,Dyson,,M,1.5
483,8,Samsung,44.0,M,1.5
41,11,Samsung,43.0,M,1.5
305,7,Dyson,47.0,M,1.5
281,6,Tefal,,M,1.5
84,4,Electrolux,35.0,bd.,1.5
83,6,Beko,52.0,M,1.5
212,7,Beko,65.0,M,1.5
80,6,Dyson,45.0,K,1.5
394,6,Electrolux,29.0,M,1.5
78,9,Beko,46.0,M,1.5
284,7,Electrolux,42.0,K,1.5
485,8,Beko,41.0,M,1.5
424,5,Dyson,28.0,M,1.5
67,7,Beko,,M,1.5
308,11,Electrolux,62.0,M,1.5
393,7,Beko,32.0,M,1.5
207,6,Dyson,22.0,M,1.5
295,6,Beko,,M,1.5
296,7,Tefal,,M,1.5
46,10,Tefal,41.0,M,1.5
59,2,Samsung,33.0,M,1.5
56,7,Beko,20.0,M,1.5
500,5,Electrolux,30.0,K,1.5
291,12,Tefal,,M,1.5
54,7,Electrolux,47.0,M,1.5
52,12,Electrolux,47.0,M,1.5
170,14,Beko,31.0,M,1.5
205,4,Tefal,,M,1.5
208,5,Beko,43.0,M,2.0
213,8,Dyson,33.0,M,2.0
231,10,Beko,49.0,K,2.0
435,11,Beko,50.0,M,2.0
425,8,Tefal,41.0,K,2.0
277,4,Electrolux,33.0,M,2.0
240,7,Samsung,27.0,M,2.0
348,8,Dyson,38.0,M,2.0
340,11,Dyson,62.0,M,2.0
369,8,Dyson,,M,2.0
330,5,Beko,36.0,M,2.0
372,7,Electrolux,,M,2.0
379,9,Samsung,45.0,M,2.0
316,9,Beko,50.0,M,2.0
315,6,Dyson,49.0,M,2.0
314,6,Electrolux,34.0,M,2.0
386,3,Samsung,44.0,M,2.0
302,3,Electrolux,31.0,M,2.0
387,14,Samsung,46.0,M,2.0
292,10,Electrolux,46.0,M,2.0
290,3,Beko,47.0,M,2.0
288,8,Electrolux,38.0,K,2.0
392,10,Electrolux,52.0,M,2.0
282,8,Electrolux,39.0,M,2.0
272,5,Electrolux,49.0,M,2.0
270,2,Dyson,24.0,M,2.0
269,7,Dyson,45.0,M,2.0
268,12,Electrolux,42.0,M,2.0
405,10,Tefal,32.0,M,2.0
263,8,Electrolux,43.0,M,2.0
262,11,Dyson,,M,2.0
258,5,Electrolux,47.0,K,2.0
257,10,Electrolux,,M,2.0
250,6,Electrolux,,M,2.0
415,9,Electrolux,42.0,K,2.0
417,8,Dyson,40.0,M,2.0
423,11,Beko,26.0,M,2.0
187,9,Dyson,20.0,M,2.0
356,12,Electrolux,45.0,M,2.0
77,6,Dyson,43.0,M,2.0
472,5,Tefal,38.0,M,2.0
157,12,Samsung,53.0,M,2.0
112,6,Electrolux,,M,2.0
155,4,Electrolux,48.0,M,2.0
113,10,Beko,,K,2.0
509,8,Beko,55.0,bd.,2.0
114,7,Electrolux,33.0,M,2.0
32,6,Electrolux,26.0,M,2.0
33,10,Beko,,M,2.0
34,5,Tefal,39.0,M,2.0
35,14,Samsung,,M,2.0
61,10,Beko,27.0,K,2.0
149,7,Beko,28.0,M,2.0
79,9,Electrolux,50.0,M,2.0
460,7,Electrolux,38.0,M,2.0
42,3,Beko,25.0,M,2.0
461,8,Electrolux,,M,2.0
116,2,Dyson,53.0,M,2.0
140,13,Tefal,43.0,K,2.0
138,3,Electrolux,48.0,M,2.0
135,7,Electrolux,53.0,K,2.0
134,10,Electrolux,37.0,M,2.0
133,13,Electrolux,,M,2.0
464,4,Electrolux,44.0,M,2.0
466,14,Electrolux,,M,2.0
53,8,Beko,38.0,M,2.0
126,11,Dyson,55.0,M,2.0
501,7,Beko,35.0,M,2.0
120,8,Electrolux,37.0,K,2.0
50,10,Electrolux,27.0,M,2.0
107,9,Dyson,21.0,K,2.0
27,7,Dyson,41.0,M,2.0
451,7,Samsung,55.0,M,2.0
82,6,Tefal,28.0,M,2.0
85,9,Samsung,26.0,bd.,2.0
86,6,Electrolux,52.0,M,2.0
88,2,Beko,47.0,M,2.0
75,7,Tefal,40.0,M,2.0
74,6,Tefal,37.0,K,2.0
5,5,Beko,53.0,M,2.0
525,11,Electrolux,45.0,M,2.0
523,7,Tefal,,K,2.0
95,4,Tefal,46.0,M,2.0
487,6,Electrolux,33.0,M,2.0
518,4,Electrolux,30.0,bd.,2.0
